meter_id,DateTime,consumption
MAC000069,12/05/13 22:30,0.063
MAC000069,12/05/13 23:00,0.106
MAC000069,12/05/13 23:30,0.029
MAC000069,13/05/13 00:00,0.108
MAC000069,13/05/13 00:30,0.033
MAC000069,13/05/13 01:00,0.091
MAC000069,13/05/13 01:30,0.054
MAC000069,13/05/13 02:00,0.065
MAC000069,13/05/13 02:30,0.079
MAC000069,13/05/13 03:00,0.046
MAC000069,13/05/13 03:30,0.094
MAC000069,13/05/13 04:00,-0.048
MAC000069,13/05/13 04:30,0.107
MAC000069,13/05/13 05:00,0.055
MAC000069,13/05/13 05:30,0.134
MAC000069,13/05/13 06:00,0.084
MAC000069,13/05/13 06:30,0.112
MAC000069,13/05/13 07:00,0.102
MAC000069,13/05/13 07:30,0.068
MAC000069,13/05/13 08:00,0.084
MAC000069,13/05/13 08:30,0.081
MAC000069,13/05/13 09:00,0.11
MAC000069,13/05/13 09:30,0.039
MAC000069,13/05/13 10:00,0.101
MAC000069,13/05/13 10:30,0.022
MAC000069,13/05/13 11:00,0.11
MAC000069,13/05/13 11:30,0.035
MAC000069,13/05/13 12:00,0.099
MAC000069,13/05/13 12:30,0.049
MAC000069,13/05/13 13:00,0.087
MAC000069,13/05/13 13:30,0.061
MAC000069,13/05/13 14:00,0.071
MAC000069,13/05/13 14:30,0.078
MAC000069,13/05/13 15:00,0.06
MAC000069,13/05/13 15:30,0.094
MAC000069,13/05/13 16:00,0.082
MAC000069,13/05/13 16:30,0.288
MAC000069,13/05/13 17:00,0.099
MAC000069,13/05/13 17:30,0.163
MAC000069,13/05/13 18:00,0.086
MAC000069,13/05/13 18:30,0.174
MAC000069,13/05/13 19:00,0.084
MAC000069,13/05/13 19:30,0.134
MAC000069,13/05/13 20:00,0.092
MAC000069,13/05/13 20:30,0.136
MAC000069,13/05/13 21:00,0.08
MAC000069,13/05/13 21:30,0.079
MAC000069,13/05/13 22:00,0.097
MAC000069,13/05/13 22:30,0.057
MAC000069,13/05/13 23:00,0.114
MAC000069,13/05/13 23:30,0.037
MAC000069,14/05/13 00:00,0.118
MAC000069,14/05/13 00:30,0.052
MAC000069,14/05/13 01:00,0.1
MAC000069,14/05/13 01:30,0.071
MAC000069,14/05/13 02:00,0.073
MAC000069,14/05/13 02:30,0.074
MAC000069,14/05/13 03:00,0.046
MAC000069,14/05/13 03:30,0.098
MAC000069,14/05/13 04:00,0.025
MAC000069,14/05/13 04:30,0.104
MAC000069,14/05/13 05:00,0.035
MAC000069,14/05/13 05:30,0.124
MAC000069,14/05/13 06:00,0.071
MAC000069,14/05/13 06:30,0.097
MAC000069,14/05/13 07:00,0.093
MAC000069,14/05/13 07:30,0.08
MAC000069,14/05/13 08:00,0.09
MAC000069,14/05/13 08:30,0.036
MAC000069,14/05/13 09:00,0.098
MAC000069,14/05/13 09:30,0.093
MAC000069,14/05/13 10:00,0.135
MAC000069,14/05/13 10:30,0.058
MAC000069,14/05/13 11:00,0.188
MAC000069,14/05/13 11:30,0.077
MAC000069,14/05/13 12:00,0.097
MAC000069,14/05/13 12:30,0.099
MAC000069,14/05/13 13:00,0.084
MAC000069,14/05/13 13:30,0.111
MAC000069,14/05/13 14:00,0.578
MAC000069,14/05/13 14:30,0.504
MAC000069,14/05/13 15:00,0.484
MAC000069,14/05/13 15:30,0.133
MAC000069,14/05/13 16:00,0.062
MAC000069,14/05/13 16:30,0.133
MAC000069,14/05/13 17:00,0.122
MAC000069,14/05/13 17:30,0.165
MAC000069,14/05/13 18:00,0.123
MAC000069,14/05/13 18:30,0.078
MAC000069,14/05/13 19:00,0.112
MAC000069,14/05/13 19:30,0.061
MAC000069,14/05/13 20:00,0.129
MAC000069,14/05/13 20:30,0.043
MAC000069,14/05/13 21:00,0.128
MAC000069,14/05/13 21:30,0.041
MAC000069,14/05/13 22:00,0.104
MAC000069,14/05/13 22:30,0.061
MAC000069,14/05/13 23:00,0.08
MAC000069,14/05/13 23:30,0.081
MAC000069,15/05/13 00:00,0.065
MAC000069,15/05/13 00:30,0.081
MAC000069,15/05/13 01:00,0.043
MAC000069,15/05/13 01:30,0.075
MAC000069,15/05/13 02:00,0.045
MAC000069,15/05/13 02:30,0.085
MAC000069,15/05/13 03:00,0.035
MAC000069,15/05/13 03:30,0.088
MAC000069,15/05/13 04:00,0.02
MAC000069,15/05/13 04:30,0.099
MAC000069,15/05/13 05:00,0.033
MAC000069,15/05/13 05:30,1000000
MAC000069,15/05/13 06:00,0.072
MAC000069,15/05/13 06:30,0.121
MAC000069,15/05/13 07:00,0.078
MAC000069,15/05/13 07:30,0.097
MAC000069,15/05/13 08:00,0.08
MAC000069,15/05/13 08:30,0.058
MAC000069,15/05/13 09:00,0.058
MAC000069,15/05/13 09:30,-0.061
MAC000069,15/05/13 10:00,0.101
MAC000069,15/05/13 10:30,0.07
MAC000069,15/05/13 11:00,0.42
MAC000069,15/05/13 11:30,0.186
MAC000069,15/05/13 12:00,0.156
MAC000069,15/05/13 12:30,0.065
MAC000069,15/05/13 13:00,0.252
MAC000069,15/05/13 13:30,0.074
MAC000069,15/05/13 14:00,0.119
MAC000069,15/05/13 14:30,0.076
MAC000069,15/05/13 15:00,0.163
MAC000069,15/05/13 15:30,0.066
MAC000069,15/05/13 16:00,0.115
